Code,Company,tickers
A2M,The a2 Milk Company Ltd,A2M.AX
AFI,Australian Foundation Investment Company Ltd,AFI.AX
AGL,AGL Energy Ltd,AGL.AX
AIA,Auckland International Airport Ltd,AIA.AX
ALD,Ampol Ltd,ALD.AX
ALL,Aristocrat Leisure Ltd,ALL.AX
ALQ,Als Ltd,ALQ.AX
ALX,Atlas Arteria,ALX.AX
AMC,Amcor Plc,AMC.AX
ANN,Ansell Ltd  ,ANN.AX
ANZ,Australia and New Zealand Banking Group Ltd,ANZ.AX
APA,APA Group,APA.AX
APT,Afterpay Ltd,APT.AX
ARG,Argo Investments Ltd,ARG.AX
AST,Ausnet Services Ltd,AST.AX
ASX,ASX Ltd,ASX.AX
AWC,Alumina Ltd,AWC.AX
AZJ,Aurizon Holdings Ltd,AZJ.AX
BEN,Bendigo and Adelaide Bank Ltd,BEN.AX
BHP,BHP Group Ltd,BHP.AX
BLD,Boral Ltd,BLD.AX
BOQ,Bank of Queensland Ltd,BOQ.AX
BSL,Bluescope Steel Ltd,BSL.AX
BXB,Brambles Ltd,BXB.AX
CBA,Commonwealth Bank of Australia,CBA.AX
CCL,Coca-Cola Amatil Ltd,CCL.AX
CHC,Charter Hall Group,CHC.AX
CIM,Cimic Group Ltd,CIM.AX
COH,Cochlear Ltd,COH.AX
COL,Coles Group Ltd  ,COL.AX
CPU,Computershare Ltd,CPU.AX
CSL,CSL Ltd,CSL.AX
CWN,Crown Resorts Ltd,CWN.AX
CWY,Cleanaway Waste Management Ltd,CWY.AX
DMP,Domino's PIZZA Enterprises Ltd,DMP.AX
DXS,Dexus,DXS.AX
EVN,Evolution Mining Ltd,EVN.AX
FBU,Fletcher Building Ltd,FBU.AX
FMG,Fortescue Metals Group Ltd,FMG.AX
FPH,Fisher & Paykel Healthcare Corporation Ltd,FPH.AX
GMG,Goodman Group,GMG.AX
GPT,GPT Group,GPT.AX
HVN,Harvey Norman Holdings Ltd,HVN.AX
IAG,Insurance Australia Group Ltd,IAG.AX
IEL,Idp Education Ltd,IEL.AX
IGO,IGO Ltd  ,IGO.AX
IPL,Incitec Pivot Ltd,IPL.AX
JBH,JB Hi-Fi Ltd  ,JBH.AX
JHX,James Hardie Industries Plc,JHX.AX
LLC,Lendlease Group,LLC.AX
MCY,Mercury NZ Ltd,MCY.AX
MEZ,Meridian Energy Ltd,MEZ.AX
MFG,Magellan Financial Group Ltd,MFG.AX
MGOC,Magellan Global Fund (Open Class) (Managed Fund),MGOC.AX
MGR,Mirvac Group  ,MGR.AX
MIN,Mineral Resources Ltd,MIN.AX
MPL,Medibank Private Ltd,MPL.AX
MQG,Macquarie Group Ltd,MQG.AX
NAB,National Australia Bank Ltd,NAB.AX
NCM,Newcrest Mining Ltd,NCM.AX
NST,Northern Star Resources Ltd,NST.AX
NXT,NEXTDC Ltd,NXT.AX
ORG,Origin Energy Ltd,ORG.AX
ORI,Orica Ltd,ORI.AX
OSH,Oil Search Ltd,OSH.AX
OZL,OZ Minerals Ltd,OZL.AX
PMGOLD,Gold,PMGOLD.AX
QAN,Qantas Airways Ltd,QAN.AX
QBE,QBE Insurance Group Ltd,QBE.AX
QUB,QUBE Holdings Ltd,QUB.AX
REA,REA Group Ltd,REA.AX
REH,Reece Ltd,REH.AX
RHC,Ramsay Health Care Ltd,RHC.AX
RIO,RIO Tinto Ltd,RIO.AX
RMD,Resmed Inc,RMD.AX
S32,SOUTH32 Ltd,S32.AX
SCG,Scentre Group,SCG.AX
SEK,Seek Ltd,SEK.AX
SGP,Stockland,SGP.AX
SHL,Sonic Healthcare Ltd,SHL.AX
SOL,Washington H Soul Pattinson & Company Ltd,SOL.AX
SPK,Spark New Zealand Ltd,SPK.AX
STO,Santos Ltd,STO.AX
SUN,Suncorp Group Ltd  ,SUN.AX
SVW,Seven Group Holdings Ltd,SVW.AX
SYD,Sydney Airport,SYD.AX
TAH,Tabcorp Holdings Ltd,TAH.AX
TCL,Transurban Group,TCL.AX
TLS,Telstra Corporation Ltd,TLS.AX
TPG,TPG Telecom Ltd,TPG.AX
TWE,Treasury Wine Estates Ltd,TWE.AX
VAS,Vanguard Australian Shares INDEX ETF,VAS.AX
VCX,Vicinity Centres,VCX.AX
WBC,Westpac Banking Corporation,WBC.AX
WES,Wesfarmers Ltd,WES.AX
WOR,Worley Ltd,WOR.AX
WOW,Woolworths Group Ltd,WOW.AX
WPL,Woodside Petroleum Ltd,WPL.AX
WTC,Wisetech Global Ltd,WTC.AX
XRO,Xero Ltd,XRO.AX
,,
